term_str,x,y,n,max_pos,logn
task,16.825651,-28.669836,128.0,NN,4.852030263919617
taste,27.12792,-23.676794,254.0,NN,5.537334267018537
taught,18.254627,43.76226,160.0,VBN,5.075173815233827
tea,-13.627414,14.067411,143.0,NN,4.962844630259907
teach,54.70838,5.1978874,108.0,VB,4.68213122712422
tear,57.81317,-7.569636,124.0,VB,4.820281565605037
tears,-34.380646,-26.01971,440.0,NNS,6.0867747269123065
teeth,-31.5743,-21.011894,378.0,NN,5.934894195619588
tell,54.88994,9.493307,1987.0,VB,7.594381242551817
telling,46.04218,2.1617537,176.0,VBG,5.170483995038151
tender,-7.690371,-47.039368,81.0,NN,4.394449154672439
tent,-25.885414,-17.380884,217.0,NN,5.37989735354046
terrible,-8.130963,-5.758629,227.0,JJ,5.424950017481403
terror,-16.765066,-13.107685,162.0,NN,5.087596335232384
thank,50.51034,9.630864,251.0,NN,5.5254529391317835
thats,40.1762,26.614939,708.0,NN,6.56244409369372
thee,40.60522,4.651032,239.0,NN,5.476463551931511
theres,36.30386,-9.471863,578.0,NN,6.359573868672378
thine,2.125109,-36.700417,61.0,NN,4.110873864173311
thing,27.697903,-16.194778,889.0,NN,6.790097235513905
things,2.8694623,-48.343037,818.0,NNS,6.706862336602747
think,52.01966,12.966842,1944.0,VB,7.572502985020384
thinking,19.697325,2.6489456,302.0,VBG,5.71042701737487
thou,43.441036,19.730492,358.0,NN,5.8805329864007
thought,23.686672,41.188416,2634.0,VBD,7.876258882303226
thoughts,11.930206,-41.883488,225.0,NNS,5.41610040220442
thousand,-41.838703,-44.454052,461.0,CD,6.133398042996649
threw,-9.828018,49.741936,340.0,VBD,5.8289456176102075
throat,-32.438614,-21.7552,416.0,NN,6.030685260261263
throne,-25.275208,-16.786411,320.0,NN,5.768320995793772
throw,60.55956,-3.0675256,138.0,VB,4.927253685157205
thrown,-16.630224,38.978184,122.0,VBN,4.804021044733257
thrust,-11.114843,45.264736,188.0,NN,5.236441962829949
thunder,-43.87199,-3.297698,130.0,NN,4.867534450455582
thy,-16.166237,-48.897755,957.0,JJ,6.863803391452954
tide,-43.071033,-1.4143338,125.0,NN,4.8283137373023015
tied,-10.455784,45.90241,122.0,VBD,4.804021044733257
till,-6.585682,23.891798,817.0,NN,6.705639094860003
time,-40.504356,-34.886784,3122.0,NN,8.046229101075378
times,-38.5488,-46.59952,551.0,NNS,6.311734809152915
tired,13.289925,9.297547,239.0,JJ,5.476463551931511
tis,43.572636,20.697386,111.0,NN,4.709530201312334
toil,-6.5379186,2.6449792,51.0,NN,3.9318256327243257
toils,-4.4476447,-35.57997,67.0,NNS,4.204692619390966
told,20.431656,44.544918,2160.0,VBD,7.67786350067821
tone,-9.333987,-14.948517,204.0,NN,5.318119993844216
tongue,14.697636,-34.806377,390.0,NN,5.966146739123692
took,3.769764,33.11817,2117.0,VBD,7.6577552711348655
touch,27.338413,-23.47619,241.0,NN,5.484796933490655
touched,5.722169,39.791916,284.0,VBD,5.648974238161206
towers,-41.395924,-10.5086155,234.0,NNS,5.455321115357702
town,-41.97711,18.214428,337.0,NN,5.820082930352362
train,-9.125544,-36.928864,197.0,NN,5.2832037287379885
treasure,12.859794,-22.675304,70.0,NN,4.248495242049359
tree,-42.904526,12.970528,442.0,NN,6.091309882077698
trees,-51.047325,5.4708776,681.0,NNS,6.523562306149512
tremble,-13.813355,8.469333,82.0,JJ,4.406719247264253
trembled,-0.08000114,38.69204,79.0,VBD,4.3694478524670215
trembling,-37.04143,-6.054992,196.0,VBG,5.278114659230517
tried,27.712343,42.79595,627.0,VBD,6.440946540632921
troops,-10.8993025,-34.63395,110.0,NNS,4.700480365792417
trouble,40.90756,-3.0982647,293.0,NN,5.680172609017068
troubled,17.214876,29.894005,135.0,JJ,4.90527477843843
true,25.26415,13.59075,725.0,JJ,6.586171654854675
truly,38.753468,16.240473,283.0,RB,5.645446897643238
trust,52.198933,2.9960272,242.0,VB,5.488937726156687
truth,29.513483,-1.7145991,479.0,NN,6.171700597410915
try,48.046593,4.7900405,363.0,VB,5.8944028342648505
trying,23.409252,26.897278,302.0,VBG,5.71042701737487
turn,61.36291,-3.6065447,595.0,VB,6.38856140554563
turned,-7.478835,50.175774,1352.0,VBD,7.20934025660291
turning,-10.357869,31.638094,325.0,VBG,5.783825182329737
turns,-17.554527,45.24213,122.0,VBZ,4.804021044733257
twice,7.8018193,-6.079676,221.0,RB,5.3981627015177525
ulysses,11.203618,22.521719,707.0,NNP,6.561030665896573
uncle,20.862852,-36.96591,440.0,NN,6.0867747269123065
understand,52.798874,10.842192,361.0,VB,5.8888779583328805
unhappy,18.0562,-4.7432666,116.0,JJ,4.7535901911063645
unknown,-4.473089,-9.332639,75.0,JJ,4.31748811353631
unless,34.93985,18.96931,257.0,IN,5.54907608489522
upper,-19.056507,-13.234207,91.0,JJ,4.51085950651685
upstairs,-29.85718,34.23753,156.0,JJ,5.049856007249537
urged,-0.37100288,31.092533,171.0,VBD,5.14166355650266
use,38.34131,-8.192991,378.0,NN,5.934894195619588
used,33.30435,40.084908,484.0,VBD,6.182084906716632
usual,8.743286,11.271962,145.0,JJ,4.976733742420574
usually,7.9314203,7.3476577,69.0,RB,4.23410650459726
uttered,14.899296,39.608585,78.0,VBD,4.356708826689592
vain,-0.98639214,-27.406313,319.0,NN,5.765191102784844
valiant,-6.183517,-43.8175,91.0,JJ,4.51085950651685
valley,-41.769627,15.029956,99.0,NN,4.59511985013459
vanished,-8.204152,43.96808,165.0,VBD,5.10594547390058
various,-46.14747,-8.297917,103.0,JJ,4.634728988229636
vast,-50.671288,-10.428186,127.0,JJ,4.844187086458591
veil,-37.140415,-2.2598803,80.0,NN,4.382026634673881
vengeance,-1.726046,-35.299156,113.0,NN,4.727387818712341
view,-23.387247,-18.338308,219.0,NN,5.389071729816501
village,-14.91451,1.3372989,204.0,NN,5.318119993844216
violent,-2.8783302,-8.096989,65.0,JJ,4.174387269895637
vision,-4.307745,-13.190066,70.0,NN,4.248495242049359
visit,57.083015,-3.911999,177.0,NN,5.176149732573829
