term_str,x,y,n,max_pos,logn
smiled,14.445214,63.361168,448.0,VBD,6.104793232414985
smiles,2.03303,12.760693,65.0,NNS,4.174387269895637
smiling,-2.7511783,28.711176,175.0,VBG,5.1647859739235145
smoke,42.57765,2.9940045,283.0,NN,5.645446897643238
smoking,28.50044,16.04487,83.0,NN,4.418840607796598
smooth,29.365791,8.690549,130.0,JJ,4.867534450455582
snake,15.497039,-20.601244,54.0,NN,3.9889840465642745
snapped,17.513718,60.212894,115.0,VBD,4.74493212836325
snatched,23.244139,54.185806,90.0,VBD,4.499809670330265
snorted,13.744071,57.832775,83.0,NN,4.418840607796598
snow,41.746517,3.1912422,700.0,NNP,6.551080335043404
soaked,27.656239,23.632782,57.0,VBN,4.04305126783455
society,-24.127514,-36.082172,83.0,NN,4.418840607796598
soft,30.098814,5.6506815,498.0,JJ,6.210600077024653
softly,0.8526688,32.892117,237.0,RB,5.4680601411351315
soil,34.312447,-16.670906,54.0,NN,3.9889840465642745
solar,52.148026,-22.545921,74.0,NN,4.30406509320417
sold,-13.505304,57.86326,65.0,VBN,4.174387269895637
soldier,17.241121,-20.108547,57.0,NN,4.04305126783455
soldiers,3.6303308,-49.82717,116.0,NNS,4.7535901911063645
solemn,6.659904,0.567604,122.0,NN,4.804021044733257
solemnly,-4.8629065,28.926184,65.0,RB,4.174387269895637
solid,23.322298,6.400178,70.0,JJ,4.248495242049359
solitary,11.153319,2.4325345,52.0,JJ,3.9512437185814275
somebody,-37.534206,9.93435,59.0,NN,4.07753744390572
somewhat,7.665637,13.435265,81.0,RB,4.394449154672439
son,-28.253115,-55.4336,1412.0,NN,7.252762418053187
song,-24.835705,-25.085983,325.0,NN,5.783825182329737
songs,-4.505809,-54.021183,134.0,NNS,4.897839799950911
sons,-15.092345,-54.1939,537.0,NNS,6.285998094508865
soon,-28.80335,18.344893,1172.0,RB,7.066466970136958
sooner,-39.71983,-3.1595824,235.0,NN,5.459585514144159
sore,0.7238892,13.884406,57.0,NN,4.04305126783455
sorrow,-16.15121,-38.371872,107.0,NN,4.672828834461906
sorrows,-13.940839,-47.833603,70.0,NNS,4.248495242049359
sorry,-24.93418,25.89317,261.0,JJ,5.564520407322694
sort,-21.24025,12.093601,327.0,NN,5.7899601708972535
sorts,1.6158946,-47.315998,69.0,NNS,4.23410650459726
sought,-0.42656654,67.89861,132.0,VBD,4.882801922586371
soul,-22.220642,-47.46602,311.0,NN,5.739792912179234
sound,11.0709915,-12.610601,791.0,NN,6.673297967767654
sounded,5.626074,47.184628,150.0,VBD,5.0106352940962555
sounding,23.15435,13.606293,60.0,VBG,4.0943445622221
sounds,11.824979,-40.03099,157.0,NNS,5.056245805348308
sour,5.2668214,6.779902,86.0,JJ,4.454347296253507
south,59.000576,2.3163443,411.0,NN,6.018593214496234
space,36.407642,-13.047973,143.0,NN,4.962844630259907
spare,-65.16236,-1.1012775,183.0,VB,5.209486152841421
spared,-25.495548,32.852802,64.0,VBN,4.1588830833596715
spat,23.095507,50.0942,81.0,NN,4.394449154672439
speak,-63.33193,12.954348,769.0,VB,6.645090969505644
speaking,-12.061182,27.748568,201.0,VBG,5.303304908059076
speaks,-12.291578,48.291363,52.0,VBZ,3.9512437185814275
spear,34.738567,-38.185295,381.0,NN,5.942799375126701
spears,17.172422,-41.572693,191.0,NNS,5.25227342804663
special,-2.8859534,-4.0867934,56.0,JJ,4.02535169073515
speech,-22.009052,-34.070396,122.0,NN,4.804021044733257
speed,-10.596139,-48.37162,110.0,NN,4.700480365792417
spell,-12.821778,-28.91089,51.0,NN,3.9318256327243257
spend,-48.22477,1.8719984,57.0,VB,4.04305126783455
spent,-6.6547513,64.54003,137.0,VBD,4.919980925828125
spied,7.833627,55.369045,57.0,VBD,4.04305126783455
spirit,-20.575672,-36.985443,168.0,NN,5.123963979403259
spirits,13.214281,-36.88271,131.0,NNS,4.875197323201151
spit,18.468117,42.41089,82.0,NN,4.406719247264253
spite,-19.103104,-36.66855,76.0,NN,4.330733340286331
splendid,-1.6619918,2.7555091,90.0,JJ,4.499809670330265
split,23.980953,40.027,60.0,VBD,4.0943445622221
spoke,12.719202,65.19936,729.0,VBD,6.591673732008658
spoken,-11.280629,65.68171,173.0,VBN,5.153291594497779
spoon,31.13564,-25.81416,50.0,NN,3.912023005428146
spot,48.053123,-15.880298,128.0,NN,4.852030263919617
spotted,21.75962,5.216713,69.0,VBD,4.23410650459726
sprang,27.077053,52.191895,125.0,VBD,4.8283137373023015
spread,29.121468,30.427189,259.0,VBD,5.556828061699537
spreading,32.849674,29.184708,55.0,VBG,4.007333185232471
spring,10.2179785,-3.138844,169.0,NN,5.1298987149230735
spun,22.583551,40.66321,85.0,NN,4.442651256490317
square,39.640793,-8.855582,134.0,NN,4.897839799950911
squire,-25.37585,-53.435993,190.0,NN,5.247024072160486
squires,10.057918,-48.15306,81.0,NNS,4.394449154672439
stable,51.10478,-12.972518,56.0,NN,4.02535169073515
stables,52.813454,3.90624,101.0,NN,4.61512051684126
staff,38.467896,-34.044277,86.0,NN,4.454347296253507
stag,25.448605,-7.636559,69.0,NN,4.23410650459726
staggered,26.969475,53.351826,59.0,VBD,4.07753744390572
stained,23.510471,2.6046422,66.0,VBN,4.189654742026425
stair,50.25517,-7.969961,100.0,NN,4.605170185988092
staircase,50.532116,-6.0353956,57.0,NN,4.04305126783455
stairs,57.778996,-4.619312,164.0,NN,5.099866427824199
