term_str,x,y,n,max_pos,logn
whip,-46.009403,11.67159,78.0,NN,4.356708826689592
whisper,12.925617,6.2591124,139.0,NN,4.9344739331306915
whispered,1.771002,-39.463818,348.0,VBD,5.8522024797744745
white,-46.349594,-6.3826346,1295.0,JJ,7.166265974133638
whod,39.724865,-22.895355,94.0,NN,4.543294782270004
whore,20.070873,16.731438,100.0,NN,4.605170185988092
whores,-0.54300195,31.487541,61.0,NNS,4.110873864173311
wide,-41.348026,-11.054522,408.0,JJ,6.0112671744041615
wife,21.460108,33.39267,569.0,NN,6.343880434126331
wild,-21.453842,0.7554342,321.0,JJ,5.771441123130016
wildfire,-12.063108,13.614162,61.0,NN,4.110873864173311
wildling,-16.724274,7.885691,128.0,NN,4.852030263919617
wildlings,-8.279302,37.173733,210.0,NNS,5.3471075307174685
win,54.81949,2.665811,161.0,VB,5.081404364984463
wind,-31.058668,25.543617,843.0,NN,6.736966958001855
window,-37.1866,20.408842,575.0,NN,6.354370040797351
windows,-28.256763,20.121141,210.0,NNS,5.3471075307174685
wine,-36.992924,8.68434,820.0,NN,6.709304340258298
wings,-34.19054,-12.564359,212.0,NNS,5.356586274672012
winter,-20.684277,3.4991045,213.0,NN,5.3612921657094255
winterfell,28.045156,2.133138,629.0,NNP,6.444131256700441
wiped,-24.692104,-45.809128,85.0,VBD,4.442651256490317
wise,16.42636,-3.4483588,225.0,NN,5.41610040220442
wish,52.784084,-10.303982,652.0,VBP,6.480044561926653
wished,12.103557,-43.069946,261.0,VBD,5.564520407322694
wits,14.124165,35.394936,84.0,NNS,4.430816798843313
wives,9.400598,39.125492,113.0,NNS,4.727387818712341
woke,-1.7429218,-43.599487,188.0,VBD,5.236441962829949
wolf,16.269226,20.83029,435.0,NN,6.075346031088684
wolves,-7.789884,36.327396,261.0,NNS,5.564520407322694
woman,30.11918,27.941221,1017.0,NN,6.92461239604856
womans,0.4845377,-0.9548167,110.0,NN,4.700480365792417
women,0.021251224,41.362305,441.0,NNS,6.089044875446846
won,11.143809,-53.019608,220.0,VBD,5.393627546352362
wonder,49.46558,-9.68144,365.0,NN,5.8998973535824915
wondered,14.43902,-37.955303,324.0,VBD,5.780743515792329
wondering,14.880698,-37.11164,163.0,VBG,5.093750200806762
wont,36.097027,-38.332973,606.0,VBP,6.406879986069314
wood,-29.087618,22.732325,513.0,NN,6.240275845170769
